
nom de l'article: Statistique Canada annonce une croissance économique de 0,1 % en octobre      lien : https://ici.radio-canada.ca//nouvelle/1944153/statistique-canada-croissance-economique-octobre

nom de l'article: À l’ouest de la baie d’Hudson, la population d’ours polaires connaît un déclin brutal      lien : https://ici.radio-canada.ca//nouvelle/1943888/voie-disparition-changement-climatique

nom de l'article: Ottawa est exhorté à freiner l’expulsion de réfugiés afghans du Pakistan      lien : https://ici.radio-canada.ca//nouvelle/1944090/ottawa-exhorte-freiner-expulsion-refugies-afghans-pakistan

nom de l'article: Brésil : Bolsonaro a gracié des policiers condamnés pour un massacre      lien : https://ici.radio-canada.ca//nouvelle/1944134/bresil-grace-bolsonaro-policiers-condamnes-massacre-prison

nom de l'article: Le fédéral affiche un déficit de 200 M$ pour la période d’avril à octobre      lien : https://ici.radio-canada.ca//nouvelle/1943952/ottawa-economie-budget-depenses

nom de l'article: Le Congrès américain adopte le budget de l’État fédéral avec 45 G$ pour l’Ukraine      lien : https://ici.radio-canada.ca//nouvelle/1943966/congres-americain-budget-etat-federal-45-milliards-ukraine

nom de l'article: Un homme est grièvement blessé après une agression armée dans un motel de Longueuil      lien : https://ici.radio-canada.ca//nouvelle/1944164/attaque-arme-blanche-saint-hubert

nom de l'article: Le Canadien gaspille une avance contre les Stars à Dallas      lien : https://ici.radio-canada.ca//sports/1944006/hockey-lnh-canadien-stars-avant-match-dadonov

nom de l'article: Les avocats de l’aide juridique de Montréal et de Laval en grève pendant les Fêtes      lien : https://ici.radio-canada.ca//nouvelle/1943738/avocats-aide-juridique-greve-fetes-montreal-laval

nom de l'article: Une tempête, mais deux réalités dans le Grand Montréal      lien : https://ici.radio-canada.ca//nouvelle/1943695/tempete-hivernale-montreal-monteregie-lanaudiere-laurentides

nom de l'article: La préfabrication au service du logement abordable      lien : https://ici.radio-canada.ca//nouvelle/1943523/prefabrication-service-logement-abordable-shq
